 ลำดับ, ชื่อท้องถิ่น, อำเภอ, จังหวัด, พื้นที่ (ตร.กม.), ปชก.ณ 30กันยายน62, ภาษีที่ดินและสิ่งปลูกสร้าง, ภาษีโรงเรือนและที่ดิน, ภาษีบำรุงท้องที่, ภาษีป้าย, อากรการฆ่าสัตว์, อากรรังนกอีแอ่น, ภาษีบำรุง อบจ. จากสถานค้าปลีกยาสูบ, ภาษีบำรุง อบจ. จากสถานค้าปลีกน้ำมัน, ค่าธรรมเนียมบำรุง อบจ. จากผู้เข้าพักโรงแรม, ค่าธรรมเนียม, ทรัพย์สิน, สาธารณูปโภค, เบ็ดเตล็ด, รวมรายได้จัดเก็บเอง, ภาษีและค่าธรรมเนียมรถยนต์หรือล้อเลื่อน, -  ภาษีมูลค่าเพิ่มที่จัดเก็บตามประมวลรัษฎากร 5%(อบจ),  - ภาษีมูลค่าเพิ่มตามกฎหมายท้องถิ่น,  - ภาษีมูลค่าเพิ่มตาม พ.ร.บ.กำหนดแผนฯ, ภาษีธุรกิจเฉพาะ, ภาษีสุรา, ภาษีสรรพสามิต, ภาษีการพนัน, ภาษียาสูบ, อากรประมง, ค่าภาคหลวงไม้, ค่าภาคหลวงแร่, ค่าภาคหลวงปิโตรเลียม, รายได้จากกฎหมายอุทยานแห่งชาติ, ค่าธรรมเนียมน้ำบาดาล, ค่าธรรมเนียมการจดทะเบียนสิทธิและนิติกรรมตามประมวลกฎหมายที่ดิน, ภาษีจัดสรรอื่น, รวมรายได้จากรัฐจัดสรร, เงินอุดหนุนทั่วไป, เงินอุดหนุนเฉพาะกิจ, รายได้จากเงินอุดหนุน, รวมรายได้ทั้งสิ้น
  11 , เทศบาลตำบลทรายขาว, คลองท่อม, กระบี่,  166.29 ,"  11,009.00 ","  65,688.89 ",  203.00 ,"  2,905.78 ","  171,377.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  382,780.90 ","  262,864.46 ","  96,114.00 ","  122,258.22 ","  1,150,641.77 ","  890,289.42 ",  -   ,"  4,941,348.55 ","  9,917,761.92 ","  616,381.05 ",  -   ,"  8,201,373.27 ",  -   ,  -   ,  -   ,  -   ,"  132,495.18 ","  72,887.91 ",  -   ,  -   ,"  2,831,860.00 ",  -   ,"  27,604,397.30 ","  33,974,615.83 ","  25,319,337.75 ","  59,293,953.58 ","  88,048,992.65 "
  12 , เทศบาลตำบลห้วยน้ำขาว, คลองท่อม, กระบี่,  109.73 ,"  9,881.00 ","  105,322.14 ","  1,450.00 ","  13,396.99 ","  241,591.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  192,414.10 ","  2,298,402.58 ",  -   ,"  41,823.75 ","  2,940,850.08 ","  839,438.02 ",  -   ,"  4,455,677.72 ","  9,475,037.63 ","  433,096.14 ",  -   ,"  7,394,444.58 ",  -   ,  -   ,  -   ,"  36,175.00 ","  233,964.05 ","  65,633.04 ",  -   ,"  5,790.00 ","  2,120,888.00 ",  -   ,"  25,060,144.18 ","  23,860,238.00 ","  7,687,541.00 ","  31,547,779.00 ","  59,548,773.26 "
  13 , เทศบาลตำบลปลายพระยา, ปลายพระยา, กระบี่,  12.50 ,"  6,139.00 ","  164,988.75 ","  8,944.00 ",  -   ,"  491,958.00 ","  12,530.00 ","  46,449.52 ",  -   ,  -   ,  -   ,"  299,428.90 ","  590,255.81 ","  139,307.26 ","  129,328.00 ","  1,883,190.24 ","  665,459.95 ",  -   ,"  2,802,075.10 ","  15,470,465.60 ","  347,145.69 ",  -   ,"  4,650,208.30 ",  -   ,  -   ,  -   ,  -   ,"  74,700.84 ","  41,276.05 ",  -   ,  -   ,"  1,848,633.00 ",  -   ,"  25,899,964.53 ","  27,424,483.00 ",  -   ,"  27,424,483.00 ","  55,207,637.77 "
  14 , เทศบาลตำบลกระบี่น้อย, เมืองกระบี่, กระบี่,  84.00 ,"  17,821.00 ","  588,697.31 ","  117,116.00 ",  -   ,"  2,942,604.00 ",  564.00 ,"  46,449.52 ",  -   ,  -   ,  -   ,"  2,409,608.50 ","  516,404.08 ","  48,728.00 ","  386,673.89 ","  7,056,845.30 ","  1,209,105.44 ",  -   ,"  7,962,513.31 ","  11,672,721.35 ","  974,702.88 ",  -   ,"  13,211,534.89 ",  -   ,  -   ,  -   ,  -   ,"  210,001.57 ","  116,996.96 ",  -   ,  -   ,"  3,639,441.00 ","  8,099.50 ","  39,005,116.90 ","  39,367,828.00 ","  16,872,022.00 ","  56,239,850.00 ","  102,301,812.20 "
  15 , เทศบาลตำบลลำทับ, ลำทับ, กระบี่,  11.80 ,"  4,211.00 ","  134,183.14 ","  226,134.00 ",  623.00 ,"  382,705.00 ","  1,200.00 ","  46,449.52 ",  -   ,  -   ,  -   ,"  463,561.60 ","  511,228.20 ",  -   ,"  180,919.00 ","  1,947,003.46 ","  570,994.19 ",  -   ,"  1,905,018.11 ","  13,554,679.70 ","  236,971.19 ",  -   ,"  3,161,819.09 ",  -   ,  -   ,  -   ,  -   ,"  51,061.02 ","  28,097.69 ",  -   ,  -   ,"  1,122,890.00 ",  -   ,"  20,631,530.99 ","  30,408,973.00 ","  11,599,000.00 ","  42,007,973.00 ","  64,586,507.45 "
  16 , เทศบาลตำบลเหนือคลอง, เหนือคลอง, กระบี่,  3.50 ,"  4,381.00 ","  376,334.79 ",  900.00 ,  -   ,"  553,259.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  357,027.30 ","  1,852,351.72 ","  2,433,557.62 ","  680,781.10 ","  6,300,661.05 ","  581,250.75 ",  -   ,"  2,003,183.33 ","  14,368,470.32 ","  252,214.36 ",  -   ,"  3,324,999.97 ",  -   ,  -   ,  -   ,  -   ,"  53,903.17 ","  29,572.98 ",  -   ,  -   ,"  904,937.00 ",  -   ,"  21,518,531.88 ","  23,178,617.00 ",  -   ,"  23,178,617.00 ","  50,997,809.93 "
  17 , เทศบาลตำบลแหลมสัก, อ่าวลึก, กระบี่,  7.00 ,"  4,123.00 ","  1,031.37 ",  -   ,  -   ,"  14,216.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  318,824.00 ","  714,944.46 ","  1,967,877.00 ","  128,510.00 ","  3,191,852.35 ","  566,872.37 ",  -   ,"  1,865,556.14 ","  13,843,279.91 ","  233,074.69 ",  -   ,"  3,096,216.22 ",  -   ,  -   ,  -   ,  -   ,"  49,914.41 ","  27,504.14 ",  -   ,  -   ,"  199,880.00 ",  291.00 ,"  19,882,588.88 ","  16,508,411.00 ","  5,609,832.00 ","  22,118,243.00 ","  45,192,684.23 "
  18 , เทศบาลตำบลอ่าวลึกใต้, อ่าวลึก, กระบี่,  8.00 ,"  5,732.00 ","  394,414.03 ","  58,408.00 ",  420.00 ,"  554,149.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  332,943.80 ","  3,038,039.14 ","  1,624,604.48 ","  226,265.00 ","  6,275,692.97 ","  647,582.87 ",  -   ,"  2,632,984.15 ","  15,793,769.62 ","  314,699.23 ",  -   ,"  4,369,921.68 ",  -   ,  -   ,  -   ,  -   ,"  70,468.12 ","  38,821.05 ",  -   ,  -   ,"  1,188,824.00 ",  -   ,"  25,057,070.72 ","  34,204,418.00 ","  2,164,231.20 ","  36,368,649.20 ","  67,701,412.89 "
  19 , อบต.เกาะกลาง, เกาะลันตา, กระบี่,  100.01 ,"  8,508.00 ","  27,953.57 ",  -   ,  -   ,"  57,881.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  330,141.55 ","  276,965.14 ",  -   ,"  163,601.00 ","  902,991.78 ","  776,988.02 ",  -   ,"  3,859,864.21 ","  9,062,266.02 ","  350,924.19 ",  -   ,"  6,404,767.36 ",  -   ,  -   ,  -   ,  -   ,"  102,146.45 ","  56,759.91 ","  912,657.91 ",  -   ,"  1,234,857.00 ",  -   ,"  22,761,231.07 ","  24,876,986.00 ",  -   ,"  24,876,986.00 ","  48,541,208.85 "
  20 , อบต.เกาะลันตาน้อย, เกาะลันตา, กระบี่,  90.41 ,"  6,076.00 ","  32,834.77 ",  202.00 ,  146.80 ,"  39,660.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  43,912.00 ","  261,394.65 ","  262,605.00 ","  29,086.50 ","  716,291.24 ","  659,373.12 ",  -   ,"  2,742,569.47 ","  8,322,986.46 ","  336,489.26 ",  -   ,"  4,550,797.85 ",  -   ,  281.30 ,  -   ,  -   ,"  72,566.17 ","  40,328.29 ","  912,657.92 ","  1,010.00 ","  584,792.00 ",  -   ,"  18,223,851.84 ","  19,844,731.00 ","  403,309.87 ","  20,248,040.87 ","  39,188,183.95 "
  21 , อบต.เกาะลันตาใหญ่, เกาะลันตา, กระบี่,  60.39 ,"  6,695.00 ","  437,596.44 ","  9,656.00 ",  -   ,"  211,052.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  340,210.25 ","  616,693.78 ",  -   ,"  6,756.08 ","  1,668,414.07 ","  686,020.98 ",  -   ,"  2,994,985.01 ","  8,426,186.48 ","  366,490.68 ",  -   ,"  4,969,350.26 ",  -   ,  -   ,  -   ,"  1,001.00 ","  79,006.75 ","  44,009.03 ","  912,657.92 ","  4,610.00 ","  2,417,129.00 ",  -   ,"  20,901,447.11 ","  18,098,714.00 ",  -   ,"  18,098,714.00 ","  40,668,575.18 "
  22 , อบต.คลองยาง, เกาะลันตา, กระบี่,  58.69 ,"  6,195.00 ","  13,446.56 ",  394.00 ,"  20,199.52 ","  120,545.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  542,028.04 ","  213,565.24 ","  351,650.00 ","  46,480.71 ","  1,354,758.59 ","  662,632.20 ",  -   ,"  2,776,379.06 ","  8,380,963.93 ","  346,556.72 ",  -   ,"  4,608,034.47 ",  -   ,  -   ,  -   ,  -   ,"  74,408.09 ","  40,948.55 ",  -   ,  10.00 ,"  616,559.00 ",  -   ,"  17,506,492.02 ","  18,304,838.00 ","  1,548,640.00 ","  19,853,478.00 ","  38,714,728.61 "
  23 , อบต.เขาดิน, เขาพนม, กระบี่,  94.00 ,"  8,890.00 ","  180,626.80 ",  -   ,"  4,084.55 ","  156,116.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  646,166.80 ","  406,509.20 ","  431,454.00 ","  376,435.00 ","  2,247,841.87 ","  794,529.60 ",  -   ,"  4,029,539.57 ","  9,243,015.06 ","  503,455.03 ",  -   ,"  6,687,525.98 ",  -   ,  -   ,  -   ,  -   ,"  107,647.76 ","  59,386.36 ","  19,422.00 ","  1,030.00 ","  1,209,070.00 ",  -   ,"  22,654,621.36 ","  26,541,210.00 ","  20,119,555.00 ","  46,660,765.00 ","  71,563,228.23 "
  24 , อบต.เขาพนม, เขาพนม, กระบี่,  125.30 ,"  7,140.00 ","  103,391.70 ","  78,926.00 ","  8,790.00 ","  80,782.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  550,906.65 ","  240,084.03 ","  489,025.00 ","  176,547.57 ","  1,774,902.47 ","  710,224.56 ",  -   ,"  3,228,376.30 ","  8,683,475.85 ","  402,552.18 ",  -   ,"  5,358,006.41 ",  -   ,  -   ,  -   ,  -   ,"  86,337.78 ","  47,591.08 ","  15,198.50 ",  -   ,"  2,957,879.00 ","  2,612.00 ","  21,492,253.66 ","  15,316,839.94 ","  9,926,244.00 ","  25,243,083.94 ","  48,510,240.07 "
  25 , อบต.โคกหาร, เขาพนม, กระบี่,  130.00 ,"  5,921.00 ","  54,879.54 ",  -   ,"  32,793.00 ","  12,144.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  309,647.00 ","  146,377.37 ","  1,164,278.00 ","  332,069.50 ","  2,098,637.93 ","  652,231.85 ",  -   ,"  2,677,458.78 ","  8,309,836.69 ","  334,700.27 ",  -   ,"  4,443,844.03 ",  -   ,  -   ,  -   ,  -   ,"  71,748.92 ","  39,488.52 ",  -   ,"  7,310.00 ","  215,489.00 ",  -   ,"  16,752,108.06 ","  12,922,806.00 ","  16,818,706.00 ","  29,741,512.00 ","  48,592,257.99 "
  26 , อบต.พรุเตียว, เขาพนม, กระบี่,  144.08 ,"  9,034.00 ","  40,568.16 ","  2,586.70 ","  14,126.99 ","  25,494.92 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  435,567.85 ","  502,843.58 ","  37,681.00 ","  571,804.98 ","  1,677,123.70 ","  803,060.79 ",  -   ,"  4,111,605.71 ","  9,338,444.03 ","  517,614.15 ",  -   ,"  6,824,109.22 ",  -   ,  -   ,  -   ,"  7,965.00 ","  101,697.72 ","  95,944.78 ",  -   ,"  1,020.00 ","  498,128.00 ",  -   ,"  22,299,589.40 ","  24,638,480.00 ",  -   ,"  24,638,480.00 ","  48,615,193.10 "
  27 , อบต.สินปุน, เขาพนม, กระบี่,  140.11 ,"  9,389.00 ","  42,892.88 ","  9,837.50 ","  26,834.81 ","  31,649.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  206,320.80 ","  400,714.46 ","  634,491.00 ","  168,200.00 ","  1,567,389.97 ","  818,110.11 ",  -   ,"  4,253,130.51 ","  9,364,079.57 ","  529,697.47 ",  -   ,"  7,058,373.88 ",  -   ,  -   ,  -   ,  -   ,"  113,429.63 ","  62,656.83 ",  -   ,"  1,030.00 ","  334,428.00 ",  -   ,"  22,534,936.00 ","  23,280,008.00 ",  -   ,"  23,280,008.00 ","  47,382,333.97 "
  28 , อบต.หน้าเขา, เขาพนม, กระบี่,  180.82 ,"  9,548.00 ","  63,476.96 ",  -   ,  -   ,"  24,746.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  940,967.23 ","  402,461.97 ","  205,535.00 ","  192,400.00 ","  1,876,036.68 ","  824,820.04 ",  -   ,"  4,317,200.14 ","  9,422,098.97 ","  537,533.58 ",  -   ,"  7,164,817.80 ",  -   ,  -   ,  -   ,  -   ,"  437,733.86 ","  63,613.27 ","  15,198.50 ","  1,530.00 ","  657,655.00 ",  -   ,"  23,442,201.16 ","  27,264,812.00 ",  -   ,"  27,264,812.00 ","  52,583,049.84 "
  29 , อบต.คลองท่อมใต้, คลองท่อม, กระบี่,  106.90 ,"  9,530.00 ","  37,313.55 ", -,"  150,096.40 ","  46,449.52 ", -, -, -, -, -,"  325,242.00 ",  -   ,  -   ,"  15,470.45 ","  574,571.92 ","  810,968.86 ",  -   ,"  4,189,549.94 ","  9,383,290.96 ","  523,871.17 ",  -   ,"  6,954,568.54 ",  -   ,  -   ,  -   ,"  2,000.00 ","  113,161.28 ","  61,905.52 ",  -   ,"  1,550.00 ","  1,324,070.00 ","  2,483.20 ","  23,367,419.47 ","  25,639,979.00 ","  199,802.00 ","  25,839,781.00 ","  49,781,772.39 "
  30 , อบต.คลองท่อมเหนือ, คลองท่อม, กระบี่,  176.34 ,"  6,615.00 ","  37,259.26 ",  -   ,"  1,515.26 ","  47,816.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  19,101,845.73 ","  483,973.73 ","  1,239.00 ","  314,834.50 ","  20,034,933.00 ","  685,254.13 ",  -   ,"  2,989,937.99 ","  8,492,348.31 ","  370,013.09 ",  -   ,"  4,961,866.98 ",  -   ,  -   ,  -   ,  -   ,"  79,616.65 ","  44,031.37 ",  -   ,  520.00 ,"  610,493.00 ",  -   ,"  18,234,081.52 ","  16,556,633.00 ","  4,700,338.13 ","  21,256,971.13 ","  59,525,985.65 "
  31 , อบต.พรุดินนา, คลองท่อม, กระบี่,  158.00 ,"  10,763.00 ","  27,085.77 ","  5,732.00 ","  31,959.93 ","  86,530.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  367,009.05 ","  638,990.47 ",  -   ,"  34,904.70 ","  1,238,661.44 ","  882,956.45 ",  -   ,"  4,870,096.78 ","  9,866,007.25 ","  608,509.50 ",  -   ,"  8,082,508.51 ",  -   ,  -   ,  -   ,  -   ,"  130,079.97 ","  71,771.32 ",  -   ,"  4,590.00 ","  1,893,936.00 ",  -   ,"  26,410,455.78 ","  32,637,899.00 ",  -   ,"  32,637,899.00 ","  60,287,016.22 "
  32 , อบต.เพหลา, คลองท่อม, กระบี่,  174.00 ,"  6,390.00 ","  40,844.77 ",  379.00 ,"  4,042.96 ","  62,672.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  144,296.10 ","  335,375.12 ",  -   ,"  16,010.00 ","  650,069.47 ","  674,662.09 ",  -   ,"  2,889,364.97 ","  8,454,149.18 ","  360,224.46 ",  -   ,"  4,795,001.09 ",  -   ,  -   ,  -   ,  -   ,"  76,969.67 ","  42,554.41 ",  -   ,"  10,891.25 ","  804,543.00 ",  -   ,"  18,108,360.12 ","  16,066,818.00 ",  -   ,"  16,066,818.00 ","  34,825,247.59 "
  33 , อบต.เขาเขน, ปลายพระยา, กระบี่,  112.00 ,"  6,507.00 ","  30,817.44 ",  -   ,"  33,378.93 ","  31,977.00 ",  -   ,"  92,899.04 ",  -   ,  -   ,  -   ,"  348,984.81 ","  54,010.00 ","  726,287.00 ","  238,295.30 ","  1,556,649.52 ","  682,666.02 ",  -   ,"  2,965,262.37 ","  8,585,631.90 ","  464,827.60 ",  -   ,"  4,920,886.01 ",  -   ,  -   ,  -   ,"  5,460.00 ","  78,933.55 ","  43,664.64 ",  -   ,"  12,190.00 ","  2,456,350.00 ",  -   ,"  20,215,872.09 ","  22,049,091.00 ","  11,847,105.17 ","  33,896,196.17 ","  55,668,717.78 "
  34 , อบต.เขาต่อ, ปลายพระยา, กระบี่,  197.26 ,"  7,624.00 ","  53,832.59 ",  -   ,  -   ,"  44,082.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  581,001.80 ","  204,644.46 ","  72,652.00 ","  112,597.00 ","  1,115,259.37 ","  735,865.93 ",  -   ,"  3,472,276.29 ","  8,947,197.54 ","  438,149.76 ",  -   ,"  5,762,845.16 ",  -   ,  -   ,  -   ,"  123,518.75 ","  2,079,305.00 ","  51,191.68 ",  -   ,"  1,550.00 ","  1,958,010.00 ",  -   ,"  23,569,910.11 ","  27,001,139.00 ","  16,761,486.00 ","  43,762,625.00 ","  68,447,794.48 "
  35 , อบต.คีรีวง, ปลายพระยา, กระบี่,  61.32 ,"  5,870.00 ","  32,625.51 ",  -   ,"  2,774.76 ","  33,140.00 ",  -   ,"  46,449.52 ",  -   ,  -   ,  -   ,"  235,196.00 ","  268,302.04 ",  -   ,"  150,115.00 ","  768,602.83 ","  651,896.38 ",  -   ,"  2,673,452.83 ","  8,378,393.11 ","  335,279.51 ",  -   ,"  4,436,870.63 ",  -   ,  -   ,  -   ,  -   ,"  71,370.77 ","  39,394.20 ",  -   ,"  1,520.00 ","  812,340.00 ","  1,396.80 ","  17,401,914.23 ","  17,031,592.00 ","  4,754,257.00 ","  21,785,849.00 ","  39,956,366.06 "
